username,full_text,lang,reply_count,quote_count,favorite_count,view_count,created_at,tweet_url
@Bocahngasall,"Emang derita anak baru disuru senior begini, libur cuma minggu juga mala disuru jaga event di prj babiiiiiiiikkkk babikk. Kerja 7/7 babik.",in,,,,15,2023-07-09T02:36:23.000Z,/Bocahngasall/status/1677869275376406534
@snailsmeal,"plis celana w dateng hari ini, mo gua pake ke prj besok",in,,,,17,2023-07-09T02:23:34.000Z,/snailsmeal/status/1677866050791301120
@tanyarlfes,"tanya dong, masuk PRJ / jakarta fair masih bisa pake KTA ga ya??

makasih yg udah reply ",in,1,,,"1,494",2023-07-09T02:19:37.000Z,/tanyarlfes/status/1677865057697529856
@wooppyy_96,"Ati ati kak klo ke PRJ , tasnya di jaga , ",in,,,,24,2023-07-09T02:17:56.000Z,/wooppyy_96/status/1677864632663564289
@ianbudikur,Iya tapi bus yang saya naiki kemarin ngga brenti di landas pacu timur. Arah ke PRJ maup Sunter ngga brenti.,in,1,,,28,2023-07-09T02:16:29.000Z,/ianbudikur/status/1677864270216978432
@PRJlawOffice,"percuma mbah, orang model gini itu hanya mempercayai apa yg ingin dipercayai aja. nalar nya udah gak bisa bedain bener salah",in,,,1,133,2023-07-09T02:16:11.000Z,/PRJlawOffice/status/1677864195088613376
@zxcvrn8,ada yang mo nitip prj?,in,,,,19,2023-07-09T02:14:16.000Z,/zxcvrn8/status/1677863710688440320
@accountjulid,"JUAL 4 TIKET PRJ 9 JULI 2023 TIKET + KONSER (VIP) 

DM FOR MORE INFO

wts wtb wtt tix theadams",in,,,,36,2023-07-09T02:13:05.000Z,/accountjulid/status/1677863413563916288
@onyouriyaa,"Orang orang pada ke PRJ bu, km ke PRJ aja yuk besok sama aku",in,,,,14,2023-07-09T01:55:34.000Z,/onyouriyaa/status/1677859003374895104
@VanteLatte7,"Kali aja ada yang lihat/kebawa tas ini di PRJ, kemarin 8 Juli 2023. Dm aku yaaa, terima kasih banyaak.",in,,,,15,2023-07-09T01:49:13.000Z,/VanteLatte7/status/1677857405735157760
@aiyounabe,Ada yg mau ke prj hari ini ga sih? Ayo temenin aku,in,4,,,132,2023-07-09T01:38:55.000Z,/aiyounabe/status/1677854812778663936
@cottoncy__,"wtb tiket prj 9 juli non konser ya
#JakartaFair2023",in,,,,38,2023-07-09T01:36:13.000Z,/cottoncy__/status/1677854133523714051
@marianacheahh,"utg kagak ke PRJ, sebenernya juga kaget why harus kotu?",in,,,,201,2023-07-09T01:34:46.000Z,/marianacheahh/status/1677853769667870725
@doyxinhogii,cobaan mukk k prj 2x telat k kereta wkwk,in,,,,106,2023-07-09T01:26:57.000Z,/doyxinhogii/status/1677851803805978625
@nadiinosaurus,"ga disaranin bawa bocah sebanyak ini ke prj. karna ya benar, remvoong bener guys jagain nya yg satu mau kesini, yg satu mau kesana. blm semua di puterin aja stroller udah jajanan semua",in,,,,25,2023-07-09T01:23:58.000Z,/nadiinosaurus/status/1677851050932568064
@lotusbiscuittt,karna aku mau ke prj hari ini dan aku juga buka jastip nii  jadi buat kalian yang mau jastip barang” di prj bs dm twitter aku yaa ,in,1,,,32,2023-07-09T01:11:37.000Z,/lotusbiscuittt/status/1677847945557970944
@vickasapta,Anak sekolah kelar liburannya kapan sih aku mau ke PRJ,in,,1,,46,2023-07-09T01:08:12.000Z,/vickasapta/status/1677847082588315648
@cremebobaluv,karna aku mau ke prj hari ini dan aku juga buka jastip nii  jadi buat kalian yang mau jastip barang” di prj bs dm aku yaa ,in,,,,25,2023-07-09T01:07:01.000Z,/cremebobaluv/status/1677846788055924741
@numiltea,"wts 2 tiket prj untuk hari ini 9 juli, konser vip the adams, the upstairs, the sigit. 220k nego

tag: mau jual, want to sell, jakarta fair",in,,,,83,2023-07-09T01:02:48.000Z,/numiltea/status/1677845727597428746
@Nabiladeff,"Yang abis dari PRJ pules bener tidurnya, jam segini belum bangun.",in,,,,20,2023-07-09T01:00:29.000Z,/Nabiladeff/status/1677845140751396864
@Fadil_Indonesia,"Tadinya mau nyetir sendiri ke Bandung. Eh ada @ardianeliamart mau ke bandung juga, hasil pembicaraan di PRJ. Sampai jumpa @A_ZeeJKT48 @I_KathrinaJKT48",in,7,2,20,742,2023-07-09T00:41:58.000Z,/Fadil_Indonesia/status/1677840482381205504
@PT_Transjakarta,"Hai kak. Layanan Rute 2C, PRJ 1, PRJ 2 dan PRJ 3  beroperasi pada hari kerja pukul 15:00 - 23:00 WIB dan hari libur pada pukul 10:00 - 24:00 WIB. Terima kasih ^RJ",in,,,,33,2023-07-09T00:39:44.000Z,/PT_Transjakarta/status/1677839919341871104
@TaleofJowen,bangun prj @jweongoo,in,1,,,84,2023-07-09T00:39:37.000Z,/TaleofJowen/status/1677839890422300672
@laras_dianq,Heeppy prj bos tudey ,in,1,,,16,2023-07-09T00:37:20.000Z,/laras_dianq/status/1677839317841113088
@RealMan0312,Siapa yang hari ini ke PRJ?,in,,,,20,2023-07-09T00:30:35.000Z,/RealMan0312/status/1677837619936530432
@oct12th,Wkwk kirain parkir di PRJ kali kudu patungan segala ,in,,,,18,2023-07-09T00:23:27.000Z,/oct12th/status/1677835821955846144
@yourcutieteddy,ga zabar bgt maw PRJ besok bicoz JL omgomg dah lama ga JL xixixixi,in,,,,17,2023-07-09T00:20:29.000Z,/yourcutieteddy/status/1677835076288253953
@sifora_septia,Sepanjang liburan sekolah liburan anak anak paling ke PRJ 2X dan belum jadi ke Ancol atau Puncak hehehehe soale ga ada dana nya hehehe fokus buat beli buku paket nanti ditambah si kakak seragam pada kekecilan gimana ini mau beli nanggung banget,in,,,,79,2023-07-09T00:17:29.000Z,/sifora_septia/status/1677834321363881984
@zhoncglie,Ke prj bareng bokap apa bareng tante ya ,in,,,,13,2023-07-09T00:10:03.000Z,/zhoncglie/status/1677832451463458817
@pjsmeong,cowoku mau ke prj ,in,,,,20,2023-07-09T00:06:36.000Z,/pjsmeong/status/1677831580507840513
@aloy_kiriya,Buset PRJ,in,,,1,18,2023-07-08T23:57:45.000Z,/aloy_kiriya/status/1677829355102437376
@theasdf2004,"Jurusan mana??
Grgr masih ada event PRJ nh kayanya",in,,,,11,2023-07-08T23:51:09.000Z,/theasdf2004/status/1677827694208360449
@jwkiten,hi nael :] aku semalem pergi ke prj! hbuuu?,in,,,,15,2023-07-08T23:39:42.000Z,/jwkiten/status/1677824812708929536
@ohhafi,"Hari ini mau ke prj, semoga ga penuh banget",in,,,1,85,2023-07-08T23:34:27.000Z,/ohhafi/status/1677823492400750592
@ohhafi,Masih rame banget ga si prj?,in,,,,28,2023-07-08T23:32:31.000Z,/ohhafi/status/1677823006985564160
@ketoeHanan,nice ingfo gan lesgo prj lagi,in,1,,,19,2023-07-08T23:14:19.000Z,/ketoeHanan/status/1677818426071617536
@xannytocin,Ini Van Gogh art exhibition apa wahana PRJ,in,2,,,85,2023-07-08T23:02:33.000Z,/xannytocin/status/1677815463710199808
@143shj,ini kalo tiba-tiba taeyong ke jakarta fair/PRJ udah ga kaget,in,2,,1,95,2023-07-08T22:03:54.000Z,/143shj/status/1677800703908249600
@Bayupam95753610,"Dia yang ngajak ke PRJ, giliran udah dijemput di Bogor malah ngajak nonton kartun.",in,,,,21,2023-07-08T22:02:56.000Z,/Bayupam95753610/status/1677800459845906432
@ojanjimanis,"Woooy udh 7 daftar grand prize prj or jfk. Jakarta Fair Kemayoran yakali gak tembus mah atu, mio kek mio gpp banget. Sini yang punya tiket masuk prj kasih ke gua aja no tiketnya",in,,,,95,2023-07-08T21:34:51.000Z,/ojanjimanis/status/1677793394893156353
@RafifFadhlurra4,Pilihan 2: Naik 4C jurusan TU Gas turun di Matraman 2 lalu naik PRJ 2 jurusan Jakarta International Expo,in,,,,20,2023-07-08T20:55:12.000Z,/RafifFadhlurra4/status/1677783413108121602
@animekknakal,seharusnya saia tau klo ada jkt48 di PRJ kemaren jumat :),in,,,,44,2023-07-08T20:25:17.000Z,/animekknakal/status/1677775888136675328
@misoupz,kalo ditanya ngapain ke prj 3x gw jg gtau,in,,,,13,2023-07-08T20:23:57.000Z,/misoupz/status/1677775552638509056
@thedreamshow2_,Woyyyy padahal sorenya gw baru ke kota tua nemenin ponakan baru langsung ke PRJ yongggg akhhhhh,in,,,,99,2023-07-08T19:50:12.000Z,/thedreamshow2_/status/1677767056543064064
@kikiiriski,"umur bgt yekan, keliling prj , pulang pulang kaki pegel",in,,,,15,2023-07-08T19:49:05.000Z,/kikiiriski/status/1677766774161563648
@writtenbygi,kmaren pas ke prj lewatin booth indomilk lagi dipasang sugar rush ride,in,,,,53,2023-07-08T19:27:22.000Z,/writtenbygi/status/1677761310715682816
@ahgasonline,aaaa core memory unlocked dulu tiap naik kelas biasa ke prj/pameran apalah buat cari tas baru/sepatu/alat sekolah…,in,,,,34,2023-07-08T19:21:03.000Z,/ahgasonline/status/1677759722156597248
@angavatarr,PRJ juga a,in,,,,49,2023-07-08T18:55:24.000Z,/angavatarr/status/1677753267055652866
@angetsonic,"Angjay shiap bang, noted gw mau ke prj lgi nih",in,,,1,30,2023-07-08T18:53:56.000Z,/angetsonic/status/1677752895968784384
