username,full_text,lang,reply_count,quote_count,favorite_count,view_count,created_at,tweet_url
@YakultIndonesia,"Pssttt.. ada  yang udah kenal maskot Yakult belum? Kira-kira namanya siapa ya? Buat yang penasaran nama dan sosok uculnya, yuk datang ke booth Yakult di Jakarta Fair Kemayoran! 
#YakultIndonesia #JakartaFair2023 #JakartaFairKemayoran #PekanRayaJakarta #PRJ",in,4,7,35,"1,246",2023-06-16T04:00:00.000Z,/YakultIndonesia/status/1669555399744458754
@nisyahdu,Meniatkan diri untuk datang ke prj karena dapat tiket gratis will be the first time nih wqwqqq,in,,,1,453,2023-06-16T03:45:33.000Z,/nisyahdu/status/1669551760543973376
@myhoop_id,"Guys, kalau aku open jastip prj ada yang minat ngga yaaa? 

Fee 5k aja per item, kalau ada yang minat boleh coba dm yaa",in,,,,28,2023-06-16T03:44:24.000Z,/myhoop_id/status/1669551473678757888
@ryusiont,Ada yang buka jastip prj nggak yh mager bgt kerumunan gt,in,,,,12,2023-06-16T03:33:57.000Z,/ryusiont/status/1669548841081925634
@Bamus_betawi,Curhat Pedagang Kerak Telor di PRJ: Bayar Sewa Lapak Rp18 Juta,in,,,,59,2023-06-16T03:33:28.000Z,/Bamus_betawi/status/1669548720843812866
@parkeusungjin,@ravenuesz ke prj yu,in,2,,,38,2023-06-16T03:27:03.000Z,/parkeusungjin/status/1669547106653306886
@sharfinur,"taun lalu seringgggg banget ke pameran. tugas kantor kebetulan juga sering hadir ke pameran, jadi seru banget. taun ini belum pernah sama sekali. mau ke iifex di sby ga boleh, kalo gitu prj ajaaa deh huahuahua",in,,,,54,2023-06-16T03:24:12.000Z,/sharfinur/status/1669546389020512256
@yudi_gariyadi,Liburan nya ke Ancol itu sambil belanja di PRJ,in,,,,34,2023-06-16T03:23:46.000Z,/yudi_gariyadi/status/1669546278676754432
@sharfinur,pengen ke prj juga... mau pulang ke depok,in,,,,51,2023-06-16T03:20:20.000Z,/sharfinur/status/1669545415275061248
@xhibalxaekki,Duh bingung bgt gaksi mo nongton konser yg mana di prj wkw,in,3,1,1,545,2023-06-16T03:15:08.000Z,/xhibalxaekki/status/1669544108678086657
@GebangRamil,"Kepala Staf Angkatan Darat Jenderal TNI Dr. Dudung Abdurachman menghadiri Pembukaan Pekan Raya Jakarta (PRJ) atau biasa disebut dengan Jakarta Fair Kemayoran (JFK) tahun 2023. Pembukaan PRJ ini secara resmi dilakukan Presiden RI Ir. Joko W, di Jakarta International Expo",in,,,,160,2023-06-16T03:13:44.000Z,/GebangRamil/status/1669543756398489600
@mamirala,"kemarin ke prj, terus lewatin booth indod*na.. suami auto bilang ""tuh tuh pinjol, sana sana, tanyain gimana caranya ngelunasin utang km tp bayar pokoknya aja, bisa dibantu ga"" sambil dorong dorong. ya aku langsung  RUN bebhaha ",in,,,1,104,2023-06-16T03:07:40.000Z,/mamirala/status/1669542229743108096
@FelixAlenta,"Ehh ayo dong ke PRJ.. wkwkwkwkw anak cileungsi baru sekalii kesanaaa :"")",in,1,,,33,2023-06-16T02:50:07.000Z,/FelixAlenta/status/1669537811375194113
@noturfavboypren,wihh hv fun di prj,in,,,,13,2023-06-16T02:39:53.000Z,/noturfavboypren/status/1669535238052270081
@goldenman339,"Messi jadi ke jakarta, tapi bukan main bola, tapi mau ke PRJ",in,,,1,43,2023-06-16T02:34:10.000Z,/goldenman339/status/1669533795836477441
@KompasTravel,Bawa Uang Rp 50.000 ke PRJ 2023 Bisa Dapat Apa Saja?,in,,,,149,2023-06-16T02:20:02.000Z,/KompasTravel/status/1669530239394000902
